# Hubbard Brook Experimental Forest, NH, daily precipitation for watersheds 5 and 6. Date
# is in format YYMMDD.  Precipitation is in mm.  

DATE	WS_5	WS_6
880523	0	0
880524	0.3	0
880525	32.6	32.6
880526	0.6	1.1
880527	0	0
880528	0	0
880529	0	0
880530	6.3	6.2
880531	0.2	0.5
880601	0	0
880602	0	0
880603	0	0
880604	0	0
880605	3.3	3.5
880606	0	0
880607	0	0
880608	0	0
880609	0	0
880610	0	0
880611	0	0
880612	0	0
880613	0	0
880614	0	0
880615	0	0
880616	3.7	3
880617	3.8	4.5
880618	0	0
880619	0	0
880620	0	0
880621	0	0
880622	10.2	9.2
880623	3.1	3.8
880624	0	0
880625	26.9	27
880626	0.8	1.1
880627	0	0
880628	4.5	4.3
880629	0.9	1.2
880630	10.2	10.4
890501	5.3	4.8
890502	49.9	50.7
890503	4.1	4.5
890504	0.2	0
890505	8.3	8.5
890506	47.6	51
890507	3.2	4
890508	0.2	0.3
890509	0	0
890510	2.6	2.4
890511	24	24.9
890512	13.5	13.1
890513	0.4	0.5
890514	0	0
890515	0	0
890516	0	0
890517	0	0
890518	0	0
890519	0	0
890520	0	0
890521	0.6	0.7
890522	1	0.8
890523	0	0
890524	7.2	7.1
890525	0.2	0.5
890526	23.2	22.4
890527	2.5	3
890528	1.2	1.9
890529	0	0
890530	2	1.9
890531	7.1	6.3
890601	1.9	2.5
890602	3.6	4.4
890603	0	0
890604	9.7	9.5
890605	0	0
890606	15.9	16.2
890607	2.6	2.7
890608	12.3	12.7
890609	9.8	10.1
890610	29.2	29.4
890611	2.7	2.9
890612	0	0
890613	1.6	1.7
890614	0.4	0.3
890615	26.2	26.3
890616	8.1	8.9
890617	1.8	2.8
890618	7.8	6.9
890619	0	0
890620	0	0
890621	0	0
890622	0	0
890623	9.8	10.6
890624	0	0
890625	0	0
890626	0	0
890627	0	0
890628	13.6	13.3
890629	0	0
890630	0	0
900501	1.8	1.7
900502	0	0
900503	0	0
900504	3	2.3
900505	11.8	13.4
900506	0.3	0.3
900507	5.1	4.4
900508	1.8	1.3
900509	0	0
900510	40.9	43.1
900511	6.2	6.2
900512	0	0
900513	49.2	48.6
900514	0.5	0.3
900515	1	1.1
900516	1.8	1.1
900517	14.3	15.6
900518	2.3	3.1
900519	1.6	2.3
900520	4.3	3.4
900521	4.9	4.3
900522	0	0
900523	0	0
900524	0	0
900525	0	0
900526	0	0
900527	0	0
900528	0	0
900529	4.8	3.5
900530	7.3	8.1
900531	0	0
900601	0	0
900602	0	0
900603	10.1	10.1
900604	0.6	1.2
900605	0	0
900606	1.5	1.4
900607	3.1	2.5
900608	1.2	0.6
900609	25.3	24
900610	21.1	21.7
900611	7.1	8.1
900612	0	0
900613	0	0
900614	0	0
900615	0	0
900616	0	0
900617	0	0
900618	0	0
900619	49.7	49.5
900620	1.6	1.5
900621	10.5	11.4
900622	1.9	1.3
900623	33.1	31.5
900624	0.6	0.3
900625	1	1.1
900626	0	0
900627	0	0
900628	0	0
900629	35.6	35
900630	0.6	0.8
910501	5.8	5.9
910502	2.5	3
910503	0	0
910504	0	0
910505	0	0
910506	28.4	28.3
910507	0.6	0.8
910508	0	0
910509	0	0
910510	0	0
910511	0	0
910512	0	0
910513	0	0
910514	0	0
910515	0	0
910516	0	0
910517	12.3	11.7
910518	1.7	2
910519	0	0
910520	0	0
910521	0	0
910522	0	0
910523	0	0
910524	0	0
910525	2	1.6
910526	5.5	5.2
910527	10.5	11.2
910528	0	0
910529	0	0
910530	5.8	5.6
910531	16.7	16.8
910601	0.4	0.5
910602	0	0
910603	0	0
910604	1.2	0.9
910605	1.6	2.3
910606	0	0
910607	0	0
910608	0	0
910609	0	0
910610	0	0
910611	5.6	5.1
910612	5.9	6.2
910613	0.3	0.8
910614	0	0
910615	13	12.4
910616	17.4	18
910617	2	1.9
910618	0	0
910619	0	0
910620	0	0
910621	0	0
910622	0	0
910623	0	0
910624	0	0
910625	0	0
910626	0	0
910627	0	0
910628	0.3	0
910629	1.4	2.2
910630	1.4	1.4
920501	1.1	0.3
920502	15.3	14.6
920503	3.3	5.2
920504	0	0
920505	0	0
920506	0	0
920507	0	0
920508	0	0
920509	0	0
920510	8.7	8.3
920511	0	0
920512	0	0
920513	0.6	1.2
920514	2.1	2.1
920515	0	0
920516	3.1	2.5
920517	0	0
920518	0	0
920519	0	0
920520	0	0
920521	0	0
920522	0	0
920523	0	0
920524	2.6	2.6
920525	0	0
920526	0	0
920527	5.1	5.1
920528	0	0
920529	0	0
920530	0	0
920531	20.4	19.8
920601	13.9	14.4
920602	0	0
920603	0	0
920604	0	0
920605	1.3	1.4
920606	23.8	23.9
920607	0	0
920608	1.1	1.1
920609	0.5	0.6
920610	0	0
920611	0	0
920612	0	0
920613	0	0
920614	0	0
920615	0	0
920616	0	0
920617	0	0
920618	0	0
920619	0.4	1.1
920620	7.1	6.6
920621	7.3	5.7
920622	0	0
920623	0	0
920624	10.9	11.2
920625	0.7	0.3
920626	0	0
920627	6.6	6.4
920628	0	0
920629	0	0
920630	1.9	2.1
930501	0	0
930502	0	0
930503	0	0
930504	0	0
930505	8.1	8.1
930506	1.3	1.4
930507	0	0
930508	0	0
930509	0	0
930510	0	0
930511	3.8	3.3
930512	6.7	6.9
930513	2.1	1.9
930514	0	0
930515	6.4	6.7
930516	1.5	1.7
930517	0	0
930518	0	0
930519	1	1.1
930520	2.3	2.2
930521	0	0
930522	3.6	3
930523	0	0
930524	5.2	5.6
930525	4.4	4.3
930526	0	0
930527	4.9	5.1
930528	0.8	1.1
930529	0.8	0.5
930530	0	0
930531	15.2	15.4
930601	19.9	19.7
930602	0	0
930603	0	0
930604	0	0
930605	9.8	9.3
930606	8.7	9.9
930607	0	0
930608	0	0
930609	1.7	1.7
930610	2.3	2.3
930611	0	0
930612	0	0
930613	0	0
930614	0	0
930615	17.5	18.3
930616	0	0
930617	0	0
930618	0	0
930619	0.3	0.8
930620	7.8	7.5
930621	6.6	6.4
930622	7.7	8.6
930623	0	0
930624	0	0
930625	0	0
930626	6.1	5.8
930627	0	0
930628	4.2	3.9
930629	0	0
930630	0	0
940501	14.8	14.9
940502	1	1.1
940503	0	0
940504	0	0
940505	2	1.9
940506	2.6	2.5
940507	0	0
940508	16.3	16.8
940509	1.4	1.6
940510	0	0
940511	1.9	1.3
940512	16.1	15.9
940513	0	0
940514	0	0
940515	0.2	0
940516	15.5	15.9
940517	2.1	2.1
940518	0	0
940519	0	0
940520	0	0
940521	0	0
940522	0	0
940523	0	0
940524	0.8	0.8
940525	10.4	10.2
940526	14.2	14.1
940527	0	0
940528	0	0
940529	0	0
940530	0	0
940531	0	0
940601	1.5	1.5
940602	2.4	2.1
940603	0	0
940604	0	0
940605	1.2	1.5
940606	1.8	1.6
940607	0	0
940608	0	0
940609	0	0
940610	0	0
940611	0	0
940612	30.1	29.8
940613	4.3	4.2
940614	17.1	16.7
940615	0	0
940616	0	0
940617	0	0
940618	8.1	8.4
940619	0	0
940620	0	0
940621	5.7	5.7
940622	1.2	0.9
940623	0.1	0
940624	0	0
940625	22.4	21.7
940626	0.5	0.3
940627	3.4	3
940628	8.9	9.3
940629	0.8	0.7
940630	0	0
950501	0	0
950502	0	0
950503	0	0
950504	0	0
950505	0	0
950506	0	0
950507	0	0
950508	0	0
950509	0	0
950510	0.1	0
950511	12.6	12.2
950512	0.9	1.1
950513	0	0
950514	7.7	7.9
950515	24.4	25.3
950516	0.9	0.3
950517	10.6	10.3
950518	0.2	0
950519	0.3	0.3
950520	0	0
950521	8.4	8.2
950522	0	0
950523	0	0
950524	5.2	5.7
950525	0	0
950526	0	0
950527	0.7	0.5
950528	0.8	1.1
950529	25.4	24
950530	0	0
950531	0	0
950601	0	0
950602	2.2	2.1
950603	3.3	3
950604	6.6	7
950605	0	0
950606	0	0
950607	0.7	1.4
950608	0.8	0.6
950609	0	0
950610	0	0
950611	9.6	9.4
950612	11.4	11.6
950613	0	0
950614	4.4	4.2
950615	7	6.6
950616	0	0
950617	0	0
950618	0	0
950619	0	0
950620	0	0
950621	0	0
950622	0	0
950623	0	0
950624	0	0
950625	0	0
950626	0	0
950627	0	0
950628	0	0
950629	0	0
950630	0	0
